Time,CppFile,LogType,SourceType,SourceID,Team,Weapon,Damage,DestinationType,DestinationID,X,Y
3.576547,Engine.c,L_time,3.576547,3.576547,0.026926,1,,,,,
3.59326,Engine.c,L_time,3.59326,3.59326,0.016713,1,,,,,
3.621232,Engine.c,L_time,3.621232,3.621232,0.027972,1,,,,,
3.6379,Engine.c,L_time,3.6379,3.6379,0.016669,1,,,,,
3.65457,Engine.c,L_time,3.65457,3.65457,0.01667,1,,,,,
3.671244,Engine.c,L_time,3.671244,3.671244,0.016674,1,,,,,
3.687914,Engine.c,L_time,3.687914,3.687914,0.01667,1,,,,,
3.704586,Engine.c,L_time,3.704586,3.704586,0.016671,1,,,,,
3.721256,Engine.c,L_time,3.721256,3.721256,0.01667,1,,,,,
3.737925,Engine.c,L_time,3.737925,3.737925,0.016669,1,,,,,
3.754648,Engine.c,L_time,3.754648,3.754648,0.016723,1,,,,,
3.781365,Engine.c,L_time,3.781365,3.781365,0.026717,1,,,,,
3.798039,Engine.c,L_time,3.798039,3.798039,0.016674,1,,,,,
3.814739,Engine.c,L_time,3.814739,3.814739,0.0167,1,,,,,
3.831392,Engine.c,L_time,3.831392,3.831392,0.016653,1,,,,,
3.848098,Engine.c,L_time,3.848098,3.848098,0.016706,1,,,,,
3.864862,Engine.c,L_time,3.864862,3.864862,0.016764,1,,,,,
3.88148,Engine.c,L_time,3.88148,3.88148,0.016618,1,,,,,
3.898108,Engine.c,L_time,3.898108,3.898108,0.016627,1,,,,,
3.914822,Engine.c,L_time,3.914822,3.914822,0.016714,1,,,,,
3.942501,Engine.c,L_time,3.942501,3.942501,0.027679,1,,,,,
3.972535,Engine.c,L_time,3.972535,3.972535,0.030034,1,,,,,
4.001082,Engine.c,L_time,4.001082,4.001082,0.028547,1,,,,,
4.018482,Engine.c,L_time,4.018482,4.018482,0.0174,1,,,,,
4.047957,Engine.c,L_time,4.047957,4.047957,0.029475,1,,,,,
4.077128,Engine.c,L_time,4.077128,4.077128,0.029171,1,,,,,
4.093788,Engine.c,L_time,4.093788,4.093788,0.01666,1,,,,,
